n_e,n_i,T_i,T_e,rho
1.7931891164668956e+20,1.7931891164668956e+20,140.4300028010105,140.4300028010105,0.9500000000000001
1.7928175553374798e+20,1.7928175553374798e+20,132.97540338117545,132.97540338117545,0.9550000000000001
1.792536849318303e+20,1.792536849318303e+20,126.24400769769144,126.24400769769144,0.96
1.7923325757010418e+20,1.7923325757010418e+20,120.24766278351228,120.24766278351228,0.965
1.792190902320256e+20,1.792190902320256e+20,114.99863641570857,114.99863641570857,0.97
1.792098739377519e+20,1.792098739377519e+20,110.50973787421158,110.50973787421158,0.975
1.792043915378147e+20,1.792043915378147e+20,106.79450611201815,106.79450611201815,0.98
1.7920153855462372e+20,1.7920153855462372e+20,103.86752825002384,103.86752825002384,0.985
1.79200348734461e+20,1.79200348734461e+20,101.74504951634849,101.74504951634849,0.99
1.7920002728905097e+20,1.7920002728905097e+20,100.4464159831108,100.4464159831108,0.995
1.792e+20,1.792e+20,100.0,100.0,1.0
